":START_ID",":END_ID",":TYPE"
"condition:documents_at_site","regulation:36","APPLIES_TO"
"permit:completion_certificate","regulation:37","DEFINED_IN"
"permit:occupancy_certificate","regulation:37","DEFINED_IN"
"amenity:art_and_culture","buildingtype:building","APPLIES_TO"
"amenity:temporary_vending_zone","buildingtype:building","APPLIES_TO"
"amenity:art_&_culture,_temporary_vending_zone_bajar-hat_athawadi_bazar_equal_street","buildingtype:building","APPLIES_TO"
"condition:in_plots_lay-outs_of_the_land_admeasuring_4000_sq._m_or_more","amenity:43","APPLIES_TO"
"condition:conversion_of_industrial_zone_to_residential_or_commercial_zone_for_the_usespermissible_in_residential_or_commercial_zone","amenity:0.45","APPLIES_TO"
"buildingtype:inclusive_housing","regulation:15","DEFINED_IN"
"condition:requirement_of_site","regulation:18","APPLIES_TO"
"condition:every_site_to_have_access_free_of_encroachment","amenity:public_street_and_means_of_access","APPLIES_TO"
"buildingtype:high_rise","regulation:96(2)","DEFINED_IN"
"buildingtype:special_buildings","regulation:96(2)","DEFINED_IN"
"buildingtype:other_buildings","regulation:97(3)","DEFINED_IN"
"condition:minimum_width_of_pathways","amenity:pathways","APPLIES_TO"
"condition:general","regulation:101","APPLIES_TO"
"condition:private_street","regulation:101","APPLIES_TO"
"condition:how_to_measure_the_length_of_access-ways","regulation:101","APPLIES_TO"
"amenity:recreational_ground","buildingtype:residential_layout","APPLIES_TO"
"amenity:open_spaces","buildingtype:residential_layout","APPLIES_TO"
"buildingtype:residential_layout","regulation:27","DEFINED_IN"
"amenity:recreational_ground","buildingtype:commercial_layout","APPLIES_TO"
"amenity:open_spaces","buildingtype:commercial_layout","APPLIES_TO"
"buildingtype:commercial_layout","regulation:27","DEFINED_IN"
"amenity:recreational_ground","buildingtype:industrial_plot","APPLIES_TO"
"amenity:open_spaces","buildingtype:industrial_plot","APPLIES_TO"
"buildingtype:industrial_plot","regulation:27","DEFINED_IN"
"buildingtype:substation","regulation:29","DEFINED_IN"
"buildingtype:electrical_consumer_substation_(css)","regulation:29","DEFINED_IN"
"buildingtype:distribution_substation_(dss)","regulation:29","DEFINED_IN"
"buildingtype:distribution_substation","regulation:29","DEFINED_IN"
"buildingtype:receiving_substation","regulation:29","DEFINED_IN"
"buildingtype:extra_high_voltage_receiving_station_(ehvrs)","regulation:29","DEFINED_IN"
"permit:transfer_of_development_rights_(tdr)","regulation:32","DEFINED_IN"
"amenity:amenity_131","regulation:2","APPLIES_TO"
"buildingtype:heritage_buildings","regulation:c","DEFINED_IN"
"buildingtype:heritage_precincts","regulation:c","DEFINED_IN"
"buildingtype:religious_building","regulation:33(1)","DEFINED_IN"
"condition:additional_fsi_to_religious_building:_138","buildingtype:religious_building","APPLIES_TO"
"buildingtype:buildings_of_medical_and_educational_institutions_and_other_institutional","regulation:regulation_(2)_(iv)_(17)_(g)","DEFINED_IN"
"buildingtype:government_buildings","regulation:33(3)","DEFINED_IN"
"buildingtype:mcgm_buildings","regulation:33(3)","DEFINED_IN"
"buildingtype:statutory_bodies_buildings","regulation:33(3)","DEFINED_IN"
"buildingtype:semi-government_buildings","regulation:33(3)","DEFINED_IN"
"buildingtype:residential_hotels","regulation:33(4)","DEFINED_IN"
"condition:on_independent_plot","buildingtype:residential_hotels","APPLIES_TO"
"buildingtype:housing_schemes","regulation:33(5)","DEFINED_IN"
"buildingtype:buildings","regulation:33(6)","DEFINED_IN"
"buildingtype:cessed_buildings","regulation:33(7)","DEFINED_IN"
"buildingtype:old_buildings","regulation:33(7)","DEFINED_IN"
"buildingtype:dilapidated_unsafe_existing_authorized_tenant_occupied_building","regulation:33(7)(a)","DEFINED_IN"
"buildingtype:authorized_non-cessed_tenant_occupied_buildings","regulation:162","DEFINED_IN"
"buildingtype:cluster_of_bdd_chawls","regulation:33(9)(b)","DEFINED_IN"
"condition:reconstruction_or_redevelopment","buildingtype:cluster_of_bdd_chawls","APPLIES_TO"
"buildingtype:slum_dwellers","regulation:33(10)","DEFINED_IN"
"buildingtype:bdd_chawls","regulation:33(9)(b)","DEFINED_IN"
"buildingtype:slum_dwellers","regulation:33(10)","DEFINED_IN"
"buildingtype:slum","regulation:33(11)","DEFINED_IN"
"buildingtype:building","permit:redevelopment_permission","REQUIRES"
"permit:redevelopment_permission","regulation:245","DEFINED_IN"
"buildingtype:contravening_structures","regulation:a","DEFINED_IN"
"buildingtype:tolerated__protected_structures","regulation:245","DEFINED_IN"
"buildingtype:buildingsof_information_technology_establishments___data_centers","regulation:247","DEFINED_IN"
"buildingtype:buildings_of_information_technology_establishments___data_centers","regulation:248","DEFINED_IN"
"condition:in_the_alignment_of_road","buildingtype:buildings_of_information_technology_establishments___data_centers","APPLIES_TO"
"buildingtype:buildings_of_smart_fin_tech_centre","regulation:33(13)(a)","DEFINED_IN"
"buildingtype:cattle_sheds","regulation:33(14)","DEFINED_IN"
"buildingtype:commercial_user_development","regulation:additional_fsi_for_commercial_user_development_in_central_business_district_(cbd)_or_plot_situated_in_residential_or_commercial_zone_or_independent","DEFINED_IN"
"buildingtype:residential","regulation:additional_fsi_for_commercial_user_development_in_central_business_district_(cbd)_or_plot_situated_in_residential_or_commercial_zone_or_independent","DEFINED_IN"
"buildingtype:commercial","regulation:additional_fsi_for_commercial_user_development_in_central_business_district_(cbd)_or_plot_situated_in_residential_or_commercial_zone_or_independent","DEFINED_IN"
"buildingtype:independent","regulation:additional_fsi_for_commercial_user_development_in_central_business_district_(cbd)_or_plot_situated_in_residential_or_commercial_zone_or_independent","DEFINED_IN"
"buildingtype:multi_storey_public_parking_lots","regulation:33(18)","DEFINED_IN"
"buildingtype:gaothan","regulation:33(16)","DEFINED_IN"
"condition:reconstruction_redevelopment","buildingtype:gaothan","APPLIES_TO"
"permit:reconstruction_redevelopment_permit","regulation:33(16)","DEFINED_IN"
"buildingtype:biotechnology_establishments","regulation:33(17)","DEFINED_IN"
"buildingtype:affordable_housing_(ah)","regulation:33(20)","DEFINED_IN"
"buildingtype:rehabilitation_&_resettlement_(r&_r)","regulation:33(20)","DEFINED_IN"
"buildingtype:municipal_market","regulation:33(21)","DEFINED_IN"
"amenity:public_amenities","buildingtype:municipal_market","APPLIES_TO"
"buildingtype:exhibition-cum-convention_centers","regulation:33(22)","DEFINED_IN"
"buildingtype:tenanted_buildings","regulation:33(24)","DEFINED_IN"
"buildingtype:building_constructed_under_slum_clearance_scheme","regulation:33(24)","DEFINED_IN"
"buildingtype:students_and_or_working_women_hostel","regulation:33(25)","DEFINED_IN"
"buildingtype:general","regulation:289","DEFINED_IN"
"buildingtype:natural_areas_(n_a)","regulation:7","DEFINED_IN"
"buildingtype:green_zone_(gz)","regulation:3.8","DEFINED_IN"
"buildingtype:plinth","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:habitable_rooms_rooms","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:bathroom_and_water_closets","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:loft","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:mezzanine_floor","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:garage","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:basement","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:cabin","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:office_room","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:letter_box_room","regulation:requirements_of_parts_of_buildings","DEFINED_IN"
"buildingtype:yogalaya","regulation:28","DEFINED_IN"
"buildingtype:fitness_centre","regulation:28","DEFINED_IN"
"buildingtype:institutional_buildings","regulation:29","DEFINED_IN"
"buildingtype:assembly_buildings","regulation:29","DEFINED_IN"
"buildingtype:business_buildings","regulation:29","DEFINED_IN"
"buildingtype:mercantile_buildings","regulation:29","DEFINED_IN"
"buildingtype:industrial_buildings","regulation:29","DEFINED_IN"
"buildingtype:parking_floor","regulation:30","DEFINED_IN"
"buildingtype:podium","regulation:31","DEFINED_IN"
"buildingtype:service_floor","regulation:32","DEFINED_IN"
"buildingtype:educational_building","regulation:359(i)","DEFINED_IN"
"buildingtype:building_for_medical_use","regulation:360(ii)","DEFINED_IN"
"buildingtype:public_building","regulation:360(iii)","DEFINED_IN"
"buildingtype:differently_abled_persons_building","regulation:39","DEFINED_IN"
"condition:open_spacesseparate_for_each_building_or_wing","amenity:open_spaces","APPLIES_TO"
"condition:manner_of_computing_front_open_space_setback_where_the_street_is_to_be_widened","amenity:open_spaces","APPLIES_TO"
"condition:measurement_for_marginal_open_space","amenity:open_spaces","APPLIES_TO"
"condition:side_and_rear_open_space_in_relation_to_the_height_of_the_building_for_light_and_ventilation","amenity:open_space","APPLIES_TO"
"buildingtype:residential","regulation:i","DEFINED_IN"
"buildingtype:commercial","regulation:(i)","DEFINED_IN"
"buildingtype:industrial","regulation:ii","DEFINED_IN"
"condition:open_spacesifthe_height_of_the_buildlng_is_restricted","amenity:open_space","APPLIES_TO"
"buildingtype:various_types_of_buildings","regulation:6","DEFINED_IN"
"condition:other_features_permitted_in_open_space","amenity:open_space","APPLIES_TO"
"amenity:two_wheeled_motor_cycle","regulation:(4)","APPLIES_TO"
"amenity:transport_vehicles","regulation:(5)","APPLIES_TO"
"condition:389","amenity:transport_vehicles","APPLIES_TO"
"amenity:parking_spaces","buildingtype:building","APPLIES_TO"
"condition:389","amenity:parking_spaces","APPLIES_TO"
"buildingtype:cinemas,theatres_and_assembly_halls","regulation:(7)","DEFINED_IN"
"condition:corridors","regulation:400","APPLIES_TO"
"condition:doorways","regulation:400","APPLIES_TO"
"condition:revolving_doors","regulation:401","APPLIES_TO"
"condition:internal_stairways","regulation:401","APPLIES_TO"
"amenity:additional_staircase","buildingtype:building","APPLIES_TO"
"condition:402","amenity:additional_staircase","APPLIES_TO"
"amenity:fire_escape_balcony","buildingtype:building","APPLIES_TO"
"condition:402","amenity:fire_escape_balcony","APPLIES_TO"
"amenity:ramp","buildingtype:building","APPLIES_TO"
"condition:402","amenity:ramp","APPLIES_TO"
"amenity:refuge_area","buildingtype:building","APPLIES_TO"
"amenity:fire_escape_chutes__controlled_lowering_device_for_evacuation","buildingtype:building","APPLIES_TO"
"buildingtype:building","permit:development_permission","REQUIRES"
"permit:building_permission","regulation:60(a)","DEFINED_IN"
"amenity:public_sanitary_convenience_(psc)blocks_toilets","buildingtype:building","APPLIES_TO"
"amenity:rain_water_harvesting_(rwh)","buildingtype:building","APPLIES_TO"
"amenity:solar_water_heating_(swh)_systems","buildingtype:building","APPLIES_TO"
"amenity:waste_water_recycling_system","buildingtype:building","APPLIES_TO"
"amenity:solid_waste_segregation","buildingtype:building","APPLIES_TO"
"amenity:tree_plantation","buildingtype:building","APPLIES_TO"
"permit:plotareacertificate","regulation:annexure3","DEFINED_IN"
"permit:owner's_plotareaaffidavit","regulation:annexure4","DEFINED_IN"
"permit:supervision_memo_ofstructural_engineer","regulation:annexure-5","DEFINED_IN"
"permit:development_permission","regulation:9(1)","DEFINED_IN"
"permit:commencement_certificate","regulation:9(1)","DEFINED_IN"
"permit:development_permission","regulation:annexure11","DEFINED_IN"
"permit:building_permission","regulation:annexure11","DEFINED_IN"
"permit:commencement_certificate","regulation:annexure12","DEFINED_IN"
"permit:development_permission","regulation:annexure12","DEFINED_IN"
"permit:building_permission","regulation:annexure12","DEFINED_IN"
"permit:development_completion_certificate","regulation:annexure16","DEFINED_IN"
"permit:drainage_completion_certificate","regulation:annexure17","DEFINED_IN"
"permit:building_completion_certificate","regulation:annexure18","DEFINED_IN"
"permit:acceptance_of_completion_certificate","regulation:annexure19","DEFINED_IN"
"permit:occupancy_certificate","regulation:annexure20","DEFINED_IN"
"permit:part_occupancy_certificate","regulation:annexure21","DEFINED_IN"
"permit:acceptance_of_completion_certificate","regulation:annexure22","DEFINED_IN"
"buildingtype:high_riseand_special_buildings","regulation:6","DEFINED_IN"
"buildingtype:residential","regulation:7","DEFINED_IN"
"buildingtype:commercial","regulation:7","DEFINED_IN"
"buildingtype:industrial","regulation:8","DEFINED_IN"
"amenity:consumer_substation_(css)","buildingtype:building","APPLIES_TO"
"buildingtype:building","regulation:(1)","DEFINED_IN"
"buildingtype:accessory_building","regulation:(2)","DEFINED_IN"
"buildingtype:main_building","regulation:(2)","DEFINED_IN"
"amenity:amenity","regulation:(4)","APPLIES_TO"
"buildingtype:building","regulation:7","DEFINED_IN"
"buildingtype:building","regulation:17","DEFINED_IN"
"condition:constructed_with_any_materials_whatsoever_for_any_purpose,_whether_used_for_human_habitation_or_not","buildingtype:building","APPLIES_TO"
"condition:foundation,_plinth,_walls,_floors,_roofs,_chimneys,_plumbing_and_building_services,_fixed_platforms","buildingtype:building","APPLIES_TO"
"condition:verandahs,_balconies,_cornices,_projections","buildingtype:building","APPLIES_TO"
"condition:part_of_a_building_or_anything_affixed_thereto","buildingtype:building","APPLIES_TO"
"condition:any_wall_enclosing_or_intended_to_enclose_any_land_or_space,_signs_and_outdoor_display_structures","buildingtype:building","APPLIES_TO"
"condition:tanks_constructed_for_storage_of_chemicals_or_chemicals_in_liquid_form","buildingtype:building","APPLIES_TO"
"condition:all_types_of_buildings_defined_in_(a)_to_(r)_below","buildingtype:building","APPLIES_TO"
"condition:tents,_shamianas_and_tarpaulin_shelters_erected_for_temporary_purposes_for_ceremonial_occasions,_with_the_permission_of_the_commissioner","buildingtype:building","APPLIES_TO"
"buildingtype:assembly_building","regulation:-_(a)","DEFINED_IN"
"amenity:drama_and_cinema_theatres","buildingtype:assembly_building","APPLIES_TO"
"amenity:drive-in-theatres","buildingtype:assembly_building","APPLIES_TO"
"amenity:assembly_halls","buildingtype:assembly_building","APPLIES_TO"
"amenity:city_halls","buildingtype:assembly_building","APPLIES_TO"
"amenity:town_halls","buildingtype:assembly_building","APPLIES_TO"
"amenity:auditoria","buildingtype:assembly_building","APPLIES_TO"
"amenity:exhibition_halls","buildingtype:assembly_building","APPLIES_TO"
"amenity:museums","buildingtype:assembly_building","APPLIES_TO"
"amenity:mangal_karyalayas","buildingtype:assembly_building","APPLIES_TO"
"amenity:skating_rinks","buildingtype:assembly_building","APPLIES_TO"
"amenity:gymnasia","buildingtype:assembly_building","APPLIES_TO"
"amenity:stadia","buildingtype:assembly_building","APPLIES_TO"
"amenity:restaurants","buildingtype:assembly_building","APPLIES_TO"
"amenity:eating_or_boarding_houses","buildingtype:assembly_building","APPLIES_TO"
"amenity:places_of_worship","buildingtype:assembly_building","APPLIES_TO"
"amenity:dance_halls","buildingtype:assembly_building","APPLIES_TO"
"amenity:multipurpose_hall","buildingtype:assembly_building","APPLIES_TO"
"amenity:clubs","buildingtype:assembly_building","APPLIES_TO"
"amenity:gymnkhanas","buildingtype:assembly_building","APPLIES_TO"
"amenity:malls","buildingtype:assembly_building","APPLIES_TO"
"amenity:road,_air,_sea_or_other_public_transportation_stations","buildingtype:assembly_building","APPLIES_TO"
"amenity:recreation_piers","buildingtype:assembly_building","APPLIES_TO"
"buildingtype:business_building","regulation:-_(b)","DEFINED_IN"
"buildingtype:detached_building","regulation:-_(c)","DEFINED_IN"
"buildingtype:educational_building","regulation:-_(d)","DEFINED_IN"
"buildingtype:building","permit:development_permission","REQUIRES"
"buildingtype:hostel","regulation:e","DEFINED_IN"
"buildingtype:hazardous_building","regulation:e","DEFINED_IN"
"condition:storage,_handling,_manufacture_or_processing_of_radioactive_substances_or_of_highly_combustible_or_explosive_materials_or_products_which_are_liable_to_burn_with_extreme_rapidity_and_or_producing_poisonous_fumes_or_explosive_emanations","buildingtype:hazardous_building","APPLIES_TO"
"condition:storage,_handling,_manufacture_or_processing_which_involves_highly_corrosive,_toxic_or_noxious_alkalis,_acids,_or_other_liquids,_gases_or_chemicals_producing_flame,_fumes_and_explosive_mixtures_or_which_result_in_division_of_matter_into_fine_particles_capable_of_spontaneous_ignition","buildingtype:hazardous_building","APPLIES_TO"
"buildingtype:industrial_building","regulation:(f)","DEFINED_IN"
"buildingtype:institutional_building","regulation:(g)","DEFINED_IN"
"buildingtype:information_technology_building","regulation:(h)","DEFINED_IN"
"buildingtype:mercantile_building","regulation:(i)","DEFINED_IN"
"buildingtype:office_building","regulation:(j)","DEFINED_IN"
"buildingtype:public_building","regulation:k","DEFINED_IN"
"buildingtype:offices_of_central_or_state_government_or_any_public-sector_undertaking_or_statutory_authority_or_local_authorities","regulation:a","DEFINED_IN"
"buildingtype:temple,_mosque,_church,_chapel,_or_any_place_of_public_worship","regulation:i","DEFINED_IN"
"buildingtype:public_or_private_college,_school,_library,_or_places_of_educational_facilities","regulation:ii","DEFINED_IN"
"buildingtype:cinema,_public_concert_hall,_drama_theatre,_auditorium,_sports_complex,_sports_facility,_theatre_for_cultural_activities","regulation:iii","DEFINED_IN"
"buildingtype:public_hall,_welfare_centre,_exhibition_hall,_museum_or_any_other_place_of_assembly","regulation:iv","DEFINED_IN"
"buildingtype:hospital,_maternity_home_etc._or_any_other_place_of_medical_facility","regulation:v","DEFINED_IN"
"buildingtype:market,_shopping_centre,_departmental_store_or_mall_with_or_without_multiplex_or_any_other_place_of_retail_and_whole_sale_merchandise","regulation:vi","DEFINED_IN"
"buildingtype:railway_station,_metro_mono_rail_station,_bus_station,_airport_or_any_other_public_transport_terminal","regulation:vii","DEFINED_IN"
"buildingtype:residential_building","regulation:(i)","DEFINED_IN"
"buildingtype:semi-detached_building","regulation:(m)","DEFINED_IN"
"buildingtype:special_building","regulation:(n)","DEFINED_IN"
"buildingtype:storage_building","regulation:(o)","DEFINED_IN"
"buildingtype:temporary_building_structure","regulation:(p)","DEFINED_IN"
"condition:is_structurally_unsafe","buildingtype:unsafe_building","APPLIES_TO"
"condition:is_insanitary","buildingtype:unsafe_building","APPLIES_TO"
"condition:is_not_provided_with_adequate_means_of_egress","buildingtype:unsafe_building","APPLIES_TO"
"condition:constitutes_a_fire_hazard","buildingtype:unsafe_building","APPLIES_TO"
"condition:is_dangerous_to_human_life","buildingtype:unsafe_building","APPLIES_TO"
"condition:in_relation_to_its_existing_use,_constitutes_a_hazard_to_safety_or_health_or_public_welfare_by_reasons_of_inadequate_maintenance,_dilapidation_or_abandonment","buildingtype:unsafe_building","APPLIES_TO"
"buildingtype:wholesale_establishment","regulation:r","DEFINED_IN"
"buildingtype:cabin","regulation:20","DEFINED_IN"
"buildingtype:canopy","regulation:21","DEFINED_IN"
"buildingtype:chimney","regulation:23","DEFINED_IN"
"buildingtype:chajja","regulation:24","DEFINED_IN"
"buildingtype:chowk","regulation:25","DEFINED_IN"
"condition:carpet_area_not_exceeding_30_sqm","amenity:shops","APPLIES_TO"
"amenity:shops","buildingtype:building","APPLIES_TO"
"condition:carpet_area_not_exceeding_100_sq._m","amenity:medical_and_dental_practitioners'_dispensaries_or_clinics,_pathological_or_diagnostic_clinics_and_pharmacies","APPLIES_TO"
"amenity:courtyard","buildingtype:building","APPLIES_TO"
"amenity:curb_cut","buildingtype:building","APPLIES_TO"
"buildingtype:dharmashala","regulation:38","DEFINED_IN"
"buildingtype:dwelling_unit_tenement","regulation:40","DEFINED_IN"
"buildingtype:eating_house","regulation:41","DEFINED_IN"
"buildingtype:enclosed_staircase","regulation:42","DEFINED_IN"
"buildingtype:energy_efficient_building","regulation:43","DEFINED_IN"
"buildingtype:escalator","regulation:44","DEFINED_IN"
"buildingtype:escape_route","regulation:45","DEFINED_IN"
"buildingtype:existing_building","regulation:46","DEFINED_IN"
"buildingtype:building","regulation:47","DEFINED_IN"
"buildingtype:building","regulation:49","DEFINED_IN"
"amenity:fire_and_or_emergency_alarm_system","buildingtype:building","APPLIES_TO"
"amenity:fire_booster_pump","buildingtype:high_rise_building","APPLIES_TO"
"amenity:fire_lift","buildingtype:building","APPLIES_TO"
"condition:prevent_the_transmission_and_spread_of_heat_and_fire_for_a_specified_period","amenity:fireproof_door","APPLIES_TO"
"amenity:fire_pump","buildingtype:high-rise_building","APPLIES_TO"
"condition:pressure_of_3.2_kg_cm2_at_the_topmost_level","amenity:fire_pump","APPLIES_TO"
"amenity:fitness_centre_yogalaya","buildingtype:building","APPLIES_TO"
"condition:built-up_premises_including_toilet_facilities_provided_in_the_building_including_gymnasium_for_the_benefit_of_its_inmates_and_for_the_purpose_of_fitness,_physical_exercises,_yoga,_reading_and_such_other_activities_as_may_be_permitted_by_the_commissioner_from_time_to_time","amenity:fitness_centre_yogalaya","APPLIES_TO"
"buildingtype:auditorium","regulation:66","DEFINED_IN"
"amenity:gallery","buildingtype:auditorium","APPLIES_TO"
"buildingtype:gaothan","regulation:67","DEFINED_IN"
"buildingtype:garage","regulation:68","DEFINED_IN"
"buildingtype:garage-public","regulation:69","DEFINED_IN"
"amenity:grey_water","buildingtype:building","APPLIES_TO"
"condition:radio_active_substances","regulation:72","APPLIES_TO"
"condition:material_which_is_highly_combustible_or_explosive_and_or_which_may_produce_poisonous_fumes_or_explosive_emanations_or_storage,_handling,_processing_or_manufacturing_of_which_may_involve_highly_corrosive,_toxic_or_noxious_alkalis_or_acids_or_other_liquids","regulation:72","APPLIES_TO"
"condition:other_liquids_or_chemicals_producing_flame,_explosive,_poisonous,_irritant_or_corrosive_gases_or_which_may_produce_explosive_mixtures_of_dust_or_fine_particles_capable_of_spontaneous_ignition","regulation:72","APPLIES_TO"
"buildingtype:high_rise_building","regulation:75","DEFINED_IN"
"condition:having_height_more_than_32m_above_the_average_surrounding_ground_level","buildingtype:high_rise_building","APPLIES_TO"
"buildingtype:residential","regulation:76","DEFINED_IN"
"condition:no_display_to_indicate_from_the_exterior_of_the_building_that_it_is_being_utilised_in_whole_or_in_part_for_any_purpose_other_than_a_residential_or_dwelling_use","buildingtype:residential","APPLIES_TO"
"permit:licensable_goods","regulation:76","DEFINED_IN"
"buildingtype:information_technology_establishment","regulation:77","DEFINED_IN"
"buildingtype:ledge","regulation:78","DEFINED_IN"
"buildingtype:tand","regulation:78","DEFINED_IN"
"amenity:lift","buildingtype:building","APPLIES_TO"
"amenity:elevator","buildingtype:building","APPLIES_TO"
"buildingtype:loft","regulation:81","DEFINED_IN"
"buildingtype:mall","regulation:82","DEFINED_IN"
"buildingtype:multiplex_multiplex_theatre_complex_(mtc)","regulation:84","DEFINED_IN"
"buildingtype:noise_barrier","regulation:85","DEFINED_IN"
"buildingtype:building","regulation:87","DEFINED_IN"
"buildingtype:building","regulation:88","DEFINED_IN"
"condition:mixed_occupancy_buildings_being_those_in_which_more_than_one_occupancy_are_present_in-different_portions_of_the_buildings","buildingtype:building","APPLIES_TO"
"condition:an_enclosed_or_unenclosed,_covered_or_open_area_or_area_provided_by_mechanical_means_sufficient_in_size_to_park_vehicles","amenity:parking_space","APPLIES_TO"
"condition:parking_spaces_shall_be_served_by_a_driveway_connecting_them_with_a_street_or_alley_and_permitting_ingress_or_egress_of_vehicles","amenity:parking_space","APPLIES_TO"
"amenity:parking_space","buildingtype:building","APPLIES_TO"
"buildingtype:building","permit:permission","REQUIRES"
"permit:permission","regulation:94","DEFINED_IN"
"amenity:refuge_area","buildingtype:building","APPLIES_TO"
"condition:an_area_within_the_building_for_a_temporary_use_during_egress","amenity:refuge_area","APPLIES_TO"
"buildingtype:row_housing","regulation:106","DEFINED_IN"
"permit:sanctioned_or_approved_plan","regulation:107","DEFINED_IN"
"buildingtype:stair-cover_staircase_room","regulation:116","DEFINED_IN"
"buildingtype:stilt","regulation:117","DEFINED_IN"
"buildingtype:storey","regulation:118","DEFINED_IN"
"buildingtype:sub-station","regulation:119","DEFINED_IN"
"buildingtype:tenement","regulation:120","DEFINED_IN"
"buildingtype:theatre","regulation:121","DEFINED_IN"
"buildingtype:tower-like_structure","regulation:122","DEFINED_IN"
"amenity:privy","buildingtype:building","APPLIES_TO"
"condition:with_an_arrangement_for_flushing_the_pan_with_water","amenity:privy","APPLIES_TO"
"buildingtype:water_course","regulation:126","DEFINED_IN"
"buildingtype:water_course,_major","regulation:127","DEFINED_IN"
"condition:carries_storm_water_discharging_from_a_contributing_area_of_not_less_than_160_hectares","buildingtype:water_course,_major","APPLIES_TO"
"amenity:window","buildingtype:building","APPLIES_TO"
"condition:an_opening_other_than_a_door,_to_the_outside_of_a_building_which_provides_all_or_part_of_the_required_natural_light,_ventilation_or_both_to_an_interior_space","amenity:window","APPLIES_TO"
"buildingtype:building","regulation:3(1)","DEFINED_IN"
"buildingtype:building","regulation:3(2)","DEFINED_IN"
